"Protein_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Swiss.Prot_Hit","SP_E.value","Swiss.Prot_Description","Trembl_Hit","TB_E.value","Trembl_Description","NCBI_hit","nr_E.value","NCBI_Description","GO_Swiss.Prot","GO_Trembl"
"evm.TU.chromosome_11.166",868.87185541326,0.67531184829537,0.190885549912982,3.53778402086078,0.00040349996372045,0.0127068293659762,"sp|Q90474|H90A1_DANRE",0,"Heat shock protein HSP 90-alpha 1 OS=Danio rerio GN=hsp90a.1 PE=1 SV=3","tr|A0A2B4RG70|A0A2B4RG70_STYPI",0,"Heat shock protein HSP 90-alpha 1 OS=Stylophora pistillata GN=hsp90a.1 PE=4 SV=1","gb|PFX17354.1|",0,"heat shock protein HSP 90-beta-like [Stylophora pistillata]","GO:0031672; GO:0042470; GO:0048471; GO:0030018; GO:0005524; GO:0016887; GO:0030235; GO:0051082; GO:0050900; GO:0007517; GO:0030239; GO:0045429; GO:0006457; GO:0010038; GO:0006950; GO:0048769; GO:0030241; GO:0030240; GO:0014866; GO:0071688","GO:0005524; GO:0051082; GO:0006457; GO:0006950"
"evm.TU.chromosome_9.366",18.7291074139732,-1.30532410650308,0.370210376798329,-3.52589821439325,0.000422049143635948,0.0132460694066823,"sp|Q60HE9|MA2B1_MACFA",0,"Lysosomal alpha-mannosidase OS=Macaca fascicularis GN=MAN2B1 PE=2 SV=1","tr|A0A2B4SBE9|A0A2B4SBE9_STYPI",0,"Lysosomal alpha-mannosidase OS=Stylophora pistillata GN=MAN2B1 PE=4 SV=1","ref|XP_022789319.1|",0,"lysosomal alpha-mannosidase-like isoform X2 [Stylophora pistillata]","GO:0005764; GO:0004559; GO:0030246; GO:0046872; GO:0006013","GO:0004559; GO:0030246; GO:0046872; GO:0006013"
"evm.TU.chromosome_14.5419",12.9286626024407,3.87711362702751,1.1009066693478,3.52174597082274,0.00042871474292671,0.0133959881786762,"sp|Q8CG08|CTHR1_RAT",1.58e-11,"Collagen triple helix repeat-containing protein 1 OS=Rattus norvegicus GN=Cthrc1 PE=1 SV=1","tr|A0A2B4S5N2|A0A2B4S5N2_STYPI",3.69e-25,"Collagen triple helix repeat-containing protein 1 OS=Stylophora pistillata GN=CTHRC1 PE=4 SV=1","ref|XP_020615095.1|",7.93e-50,"collagen triple helix repeat-containing protein 1-like [Orbicella faveolata]","GO:0005581; GO:0005737; GO:0005576; GO:0005615; GO:0005578; GO:0005109; GO:0017147; GO:0016477; GO:0090103; GO:0090177; GO:0060122; GO:0090090; GO:0043932; GO:0045669; GO:0033690; GO:0032092; GO:0060071","GO:0005581"
"evm.TU.chromosome_5.2756",10.9089860853819,1.58145413166611,0.449609696665729,3.51739329332541,0.000435807533744768,0.0134955066282963,NA,NA,NA,"tr|A0A2B4SR21|A0A2B4SR21_STYPI",1.88e-86,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene4197 PE=4 SV=1","ref|XP_020603872.1|",0,"uncharacterized protein LOC110042835 isoform X1 [Orbicella faveolata]",NA,""
"evm.TU.chromosome_7.2384",5.5951899786659,-1.87792907977758,0.533871964388206,-3.5175645192937,0.000435526459416386,0.0134955066282963,"sp|Q96JL9|ZN333_HUMAN",1.34e-41,"Zinc finger protein 333 OS=Homo sapiens GN=ZNF333 PE=2 SV=3","tr|A0A2B4S7J5|A0A2B4S7J5_STYPI",0,"Zinc finger protein 333 OS=Stylophora pistillata GN=ZNF333 PE=4 SV=1","ref|XP_020602462.1|",0,"zinc finger protein 426-like [Orbicella faveolata]","GO:0005634; GO:0003677; GO:0046872; GO:0006355; GO:0006351","GO:0005634; GO:0003677; GO:0045893"
"evm.TU.chromosome_4.1386",16.9752868048405,1.26806864561049,0.360632713102408,3.51623299700601,0.000437716673279698,0.0135095943347787,"sp|A8MXY4|ZNF99_HUMAN",7.64e-48,"Zinc finger protein 99 OS=Homo sapiens GN=ZNF99 PE=2 SV=3","tr|A0A2B4SRD1|A0A2B4SRD1_STYPI",0,"Zinc finger protein 98 OS=Stylophora pistillata GN=ZNF98 PE=4 SV=1","ref|XP_020607580.1|",0,"zinc finger protein 90-like [Orbicella faveolata]","GO:0005634; GO:0003677; GO:0046872; GO:0006355; GO:0006351","GO:0003676"
"evm.TU.chromosome_2.610",10.5364583004888,-2.70348311005594,0.770898540708075,-3.50692466945491,0.00045331745959549,0.0139447655617288,"sp|Q9UI42|CBPA4_HUMAN",4.06e-48,"Carboxypeptidase A4 OS=Homo sapiens GN=CPA4 PE=1 SV=2","tr|A0A2B4RXV3|A0A2B4RXV3_STYPI",2.71e-86,"Carboxypeptidase B2 OS=Stylophora pistillata GN=CPB2 PE=4 SV=1","ref|XP_022796978.1|",1.57e-106,"carboxypeptidase B-like [Stylophora pistillata]","GO:0005615; GO:0004181; GO:0008270; GO:0016573","GO:0004181; GO:0008270"
"evm.TU.chromosome_8.2428",9.39792185473515,-3.92372105935391,1.12023764730034,-3.50257917934618,0.000460776809967547,0.0141274474079159,"sp|Q92038|ACOD_CYPCA",7.96e-125,"Acyl-CoA desaturase OS=Cyprinus carpio PE=2 SV=2","tr|A0A2B4RAF9|A0A2B4RAF9_STYPI",0,"Acyl-CoA desaturase OS=Stylophora pistillata GN=2 PE=4 SV=1","ref|XP_020610221.1|",0,"stearoyl-CoA desaturase 5-like [Orbicella faveolata]","GO:0005789; GO:0016021; GO:0005506; GO:0016491; GO:0004768; GO:0006636","GO:0016021; GO:0016717; GO:0006633"
"evm.TU.chromosome_3.1790",22.8365016213232,1.20094389166916,0.342986507892673,3.5014318756963,0.000462765264507304,0.0141417411423449,"sp|Q91372|DDX4_XENLA",0,"Probable ATP-dependent RNA helicase DDX4 OS=Xenopus laevis GN=ddx4 PE=2 SV=1","tr|J3URD7|J3URD7_EUPAN",0,"Vasa OS=Euphyllia ancora PE=2 SV=1","gb|AFP52950.1|",0,"vasa [Euphyllia ancora]","GO:0005737; GO:0005635; GO:0005634; GO:0071546; GO:0071547; GO:0045495; GO:0005524; GO:0016887; GO:0004386; GO:0003676; GO:0043046; GO:0031047; GO:0007281; GO:0007141; GO:0007140; GO:0007275; GO:0010529; GO:0048477; GO:1990511; GO:0034587; GO:0007283","GO:0005524; GO:0004386; GO:0003676; GO:0008270"
"evm.TU.chromosome_13.2370",11.6896649640017,-2.15770174930903,0.617084759851492,-3.4966051500418,0.000471218741904264,0.0143528593845594,"sp|Q9UGM3|DMBT1_HUMAN",9.65e-77,"Deleted in malignant brain tumors 1 protein OS=Homo sapiens GN=DMBT1 PE=1 SV=2","tr|A0A2B4SD37|A0A2B4SD37_STYPI",0,"Deleted in malignant brain tumors 1 protein OS=Stylophora pistillata GN=DMBT1 PE=4 SV=1","gb|PFX27286.1|",0,"uncharacterized protein LOC111327827 isoform X2 [Stylophora pistillata]","GO:0005737; GO:0070062; GO:0005576; GO:0005615; GO:0019898; GO:0030670; GO:0042589; GO:0048306; GO:0003677; GO:1904399; GO:0001530; GO:0070891; GO:0038187; GO:0005044; GO:0008329; GO:0035375; GO:0061844; GO:0044267; GO:0050829; GO:0050830; GO:0051607; GO:0030855; GO:0043152; GO:0045087; GO:0007275; GO:0015031; GO:0006898; GO:0016032","GO:0016021; GO:0005044"
"evm.TU.chromosome_6.930",60.4937457297691,0.780282472685432,0.223525946096691,3.49079150009683,0.00048159192891918,0.0145732541356977,"sp|Q6PGB8|SMCA1_MOUSE",0,"Probable global transcription activator SNF2L1 OS=Mus musculus GN=Smarca1 PE=1 SV=1","tr|A0A2B4SUJ3|A0A2B4SUJ3_STYPI",0,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Stylophora pistillata GN=SMARCA5 PE=4 SV=1","ref|XP_020610141.1|",0,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5-like [Orbicella faveolata]","GO:0090537; GO:0043231; GO:0000790; GO:0005654; GO:0005634; GO:0016589; GO:0036310; GO:0005524; GO:0016887; GO:0003677; GO:0004386; GO:0031491; GO:0008134; GO:0043044; GO:0007420; GO:0006338; GO:0016569; GO:0030182; GO:0045893; GO:2000177; GO:0006355; GO:0006351","GO:0016589; GO:0005524; GO:0016887; GO:0003677; GO:0004386; GO:0031491; GO:0043044; GO:0016569"
"evm.TU.chromosome_13.2011",56.9941367339405,-0.666597518677714,0.191140370349598,-3.4874763371992,0.00048760206898728,0.0147072182496488,"sp|Q8BX70|VP13C_MOUSE",0,"Vacuolar protein sorting-associated protein 13C OS=Mus musculus GN=Vps13c PE=1 SV=2","tr|A0A2B4S1Q6|A0A2B4S1Q6_STYPI",0,"Vacuolar protein sorting-associated protein 13C OS=Stylophora pistillata GN=Vps13c PE=4 SV=1","ref|XP_022794312.1|",0,"vacuolar protein sorting-associated protein 13A-like [Stylophora pistillata]","GO:0005829; GO:0005741; GO:0007005; GO:1905090","GO:0005509"
"evm.TU.chromosome_14.5078",6.33821434572942,-1.60433158338531,0.461254010343792,-3.47819541382315,0.000504801770803821,0.0151277691960242,NA,NA,NA,"tr|A0A2B4RAN1|A0A2B4RAN1_STYPI",8.91e-118,"Leukocyte receptor cluster member 1 OS=Stylophora pistillata GN=LENG1 PE=4 SV=1","gb|PFX13427.1|",1.38e-117,"Leukocyte receptor cluster member 1 [Stylophora pistillata]",NA,""
"evm.TU.chromosome_7.2638",6.8820429070993,1.8426635100037,0.529676566518056,3.47884657634912,0.000503576803743918,0.0151277691960242,"sp|P39963|CCNB3_CHICK",6.54e-95,"G2/mitotic-specific cyclin-B3 OS=Gallus gallus GN=CCNB3 PE=2 SV=1","tr|A0A2B4RAM5|A0A2B4RAM5_STYPI",0,"G2/mitotic-specific cyclin-B3 OS=Stylophora pistillata GN=CCNB3 PE=4 SV=1","ref|XP_020603010.1|",0,"G2/mitotic-specific cyclin-B3-like [Orbicella faveolata]","GO:0005634; GO:0019901; GO:0007049; GO:0051301; GO:0000079; GO:0010389","GO:0005634; GO:0019901; GO:0000079; GO:0010389"
"evm.TU.chromosome_11.254",37.3167834373966,-1.81429241688168,0.522310483451333,-3.47358989406676,0.000513545304146153,0.0153403082814076,"sp|Q9CYL5|GAPR1_MOUSE",9e-28,"Golgi-associated plant pathogenesis-related protein 1 OS=Mus musculus GN=Glipr2 PE=1 SV=3","tr|A0A2B4SF00|A0A2B4SF00_STYPI",5.71e-67,"Golgi-associated plant pathogenesis-related protein 1 OS=Stylophora pistillata GN=Glipr2 PE=4 SV=1","ref|XP_020618281.1|",1.45e-81,"uncharacterized protein LOC110056176 [Orbicella faveolata]","GO:0005576; GO:0000139; GO:0042803; GO:0010634; GO:0010718; GO:0070374","GO:0005576"
"evm.TU.chromosome_12.3832",7.41419665357617,-1.71353418409391,0.493796687134582,-3.47012085892528,0.000520224222754091,0.0154900097095689,"sp|O57478|HEMH_XENLA",0,"Ferrochelatase, mitochondrial OS=Xenopus laevis GN=fech PE=1 SV=1","tr|A7S629|A7S629_NEMVE",0,"Ferrochelatase OS=Nematostella vectensis GN=v1g186132 PE=3 SV=1","ref|XP_020615508.1|",0,"ferrochelatase, mitochondrial-like [Orbicella faveolata]","GO:0005743; GO:0051537; GO:0004325; GO:0046872; GO:0006783","GO:0005739; GO:0004325; GO:0006783"
"evm.TU.chromosome_3.1666",213.785456075163,5.20100700806442,1.50091688247732,3.46521987245553,0.000529798141296635,0.0157246796570152,"sp|Q91062|VIT_ICHUN",5.35e-37,"Vitellogenin OS=Ichthyomyzon unicuspis PE=1 SV=1","tr|A0A2B4RW44|A0A2B4RW44_STYPI",0,"Vitellogenin-1 OS=Stylophora pistillata GN=VTG1 PE=4 SV=1","ref|XP_020604940.1|",0,"vitellogenin-2-like [Orbicella faveolata]","GO:0005319; GO:0045735","GO:0005319"
"evm.TU.chromosome_4.14",24.6303600075487,-1.40660281051247,0.406655943045045,-3.45895058112224,0.000542284393086258,0.0160440191457686,"sp|Q9QXN5|MIOX_MOUSE",4.3e-125,"Inositol oxygenase OS=Mus musculus GN=Miox PE=1 SV=2","tr|A0A2B4SGP2|A0A2B4SGP2_STYPI",0,"Inositol oxygenase OS=Stylophora pistillata GN=Miox PE=4 SV=1","gb|PFX28526.1|",0,"inositol oxygenase-like [Stylophora pistillata]","GO:0005737; GO:0016234; GO:0004033; GO:0008199; GO:0050113; GO:0016491; GO:0016651; GO:0016701; GO:0019310","GO:0005737; GO:0050113; GO:0005506; GO:0019310"
"evm.TU.chromosome_13.438",9.50367034099974,-1.42967060003893,0.413831048523737,-3.4547204834896,0.000550863597771727,0.0162461042009503,"sp|Q63424|S15A2_RAT",3.7e-133,"Solute carrier family 15 member 2 OS=Rattus norvegicus GN=Slc15a2 PE=1 SV=1","tr|A0A2B4ST45|A0A2B4ST45_STYPI",0,"Solute carrier family 15 member 2 OS=Stylophora pistillata GN=Slc15a2 PE=4 SV=1","gb|PFX31768.1|",0,"solute carrier family 15 member 2-like isoform X1 [Stylophora pistillata]","GO:0070062; GO:0005887; GO:0016020; GO:0042895; GO:0042936; GO:0015334; GO:0015293; GO:0042891; GO:0042938; GO:0006857; GO:0015031","GO:0016021; GO:0022857"
"evm.TU.chromosome_13.2496",13.180520703518,1.15038715878046,0.33378556288538,3.44648566833161,0.000567928687947994,0.0166963845285977,"sp|O70260|PIAS3_RAT",9.42e-148,"E3 SUMO-protein ligase PIAS3 OS=Rattus norvegicus GN=Pias3 PE=1 SV=2","tr|A0A2B4SQQ8|A0A2B4SQQ8_STYPI",0,"E3 SUMO-protein ligase PIAS3 OS=Stylophora pistillata GN=Pias3 PE=4 SV=1","ref|XP_020627008.1|",0,"E3 SUMO-protein ligase PIAS3-like isoform X1 [Orbicella faveolata]","GO:0005737; GO:0030425; GO:0016607; GO:0005634; GO:0045202; GO:0019899; GO:0016874; GO:0015459; GO:0008022; GO:0047485; GO:0019789; GO:0008270; GO:0033234; GO:0010628; GO:0045838; GO:0033235; GO:0016925; GO:0006355; GO:0009725; GO:0006351","GO:0016874; GO:0019789; GO:0008270"
"evm.TU.chromosome_9.2566",14.914956207581,-1.23179829894551,0.357695620438663,-3.44370528617288,0.000573800800090248,0.0168158026272505,"sp|Q6V0K7|OIT3_RAT",4.81e-39,"Oncoprotein-induced transcript 3 protein OS=Rattus norvegicus GN=Oit3 PE=2 SV=1","tr|A0A2B4S2L4|A0A2B4S2L4_STYPI",0,"Oncoprotein-induced transcript 3 protein OS=Stylophora pistillata GN=OIT3 PE=4 SV=1","ref|XP_020611539.1|",0,"oncoprotein-induced transcript 3 protein-like [Orbicella faveolata]","GO:0005635; GO:0005509; GO:1903118","GO:0016021; GO:0005509"
"evm.TU.chromosome_11.3019",6.57882341295045,2.07939316829993,0.60475080621049,3.43842975808481,0.000585098311109975,0.016998926839319,"sp|G3X912|SPRTN_MOUSE",8.94e-124,"SprT-like domain-containing protein Spartan OS=Mus musculus GN=Sprtn PE=2 SV=1","tr|A0A2B4SWI7|A0A2B4SWI7_STYPI",0,"SprT-like domain-containing protein Spartan OS=Stylophora pistillata GN=Sprtn PE=4 SV=1","ref|XP_020605163.1|",0,"sprT-like domain-containing protein Spartan [Orbicella faveolata]","GO:0005694; GO:0016607; GO:0005654; GO:0005634; GO:0003677; GO:0070530; GO:0046872; GO:0031593; GO:0043130; GO:0006974; GO:0031398; GO:0009411; GO:0019985","GO:0003677; GO:0006281"
"evm.TU.chromosome_13.3529",6.47781560396719,-1.68864518390876,0.491035345236518,-3.43894833699881,0.000583978668206132,0.016998926839319,"sp|Q92754|AP2C_HUMAN",6.01e-06,"Transcription factor AP-2 gamma OS=Homo sapiens GN=TFAP2C PE=1 SV=1","tr|A0A2B4SPB8|A0A2B4SPB8_STYPI",0,"Transcription factor AP-2-alpha OS=Stylophora pistillata GN=TFAP2A PE=4 SV=1","ref|XP_020615281.1|",0,"uncharacterized protein LOC110053399 [Orbicella faveolata]","GO:0005829; GO:0005739; GO:0005654; GO:0005634; GO:0001047; GO:0003677; GO:0003700; GO:0046983; GO:0000977; GO:0001077; GO:0001078; GO:0007267; GO:0008584; GO:0000122; GO:0045944; GO:0042127; GO:0040029; GO:0006357",""
"evm.TU.chromosome_9.214",87.1097259570764,0.723452882242331,0.21041458465466,3.43822593585748,0.000585538922344681,0.016998926839319,"sp|Q5R4D6|LEO1_PONAB",2.27e-114,"RNA polymerase-associated protein LEO1 OS=Pongo abelii GN=LEO1 PE=2 SV=1","tr|A0A2B4SN75|A0A2B4SN75_STYPI",0,"RNA polymerase-associated protein LEO1 OS=Stylophora pistillata GN=LEO1 PE=4 SV=1","gb|PFX30513.1|",0,"RNA polymerase-associated protein LEO1-like [Stylophora pistillata]","GO:0016593; GO:0001711; GO:0016570; GO:0006378; GO:0045638; GO:0031442; GO:0032968; GO:0045944; GO:0019827; GO:0006368; GO:0016055","GO:0016593; GO:0016570; GO:0006368"
"evm.TU.chromosome_13.2545",59.912690801465,-1.3235480366452,0.385099526835781,-3.43689863116764,0.000588415777768371,0.0170292292070659,NA,NA,NA,"tr|A0A2B4SP43|A0A2B4SP43_STYPI",7.97e-82,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene4296 PE=4 SV=1","ref|XP_020627007.1|",1.03e-100,"uncharacterized protein LOC110064311 [Orbicella faveolata]",NA,""
"evm.TU.chromosome_13.4047",8.47584684692954,-1.91015458608481,0.556736784871879,-3.4309832545453,0.000601397723847415,0.0172625651040033,"sp|Q9GQQ0|SPIN_DROME",3.25e-16,"Protein spinster OS=Drosophila melanogaster GN=spin PE=1 SV=1","tr|A0A2B4RQ96|A0A2B4RQ96_STYPI",0,"Protein spinster OS=Stylophora pistillata GN=spin PE=4 SV=1","ref|XP_020625147.1|",0,"LOW QUALITY PROTEIN: uncharacterized protein LOC110062558 [Orbicella faveolata]","GO:0016021; GO:0031902; GO:0005765; GO:0045202; GO:0031982; GO:0046624; GO:0009267; GO:0007619; GO:0006897; GO:0008333; GO:0010001; GO:0008347; GO:0035193; GO:0040011; GO:0007040; GO:0090099; GO:0045476; GO:0048477; GO:0007422; GO:0012501; GO:0045924; GO:0045477; GO:0043067; GO:0008582; GO:0003376; GO:0051124; GO:0048488; GO:0055085","GO:0016021; GO:0055085"
"evm.TU.chromosome_14.7108",68.2031001880039,-1.50746055465533,0.439404749595326,-3.43068789320927,0.000602052862615401,0.0172625651040033,"sp|P84616|DCAL2_DRONO",6.32e-10,"Dromaiocalcin-2 OS=Dromaius novaehollandiae PE=1 SV=2","tr|W4ZKN5|W4ZKN5_STRPU",2.7e-59,"Uncharacterized protein OS=Strongylocentrotus purpuratus PE=4 SV=1","gb|KXJ23567.1|",1.24e-60,"uncharacterized protein LOC110250263 isoform X1 [Exaiptasia pallida]","GO:0005578; GO:0030246","GO:0016020; GO:0022829"
"evm.TU.chromosome_6.1478",7.91329322607833,4.25602903037966,1.23999274208841,3.43230156590402,0.000598481669257494,0.0172625651040033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"evm.TU.chromosome_9.2590",10.1087683063474,-2.06847455671357,0.603304990237008,-3.42857193324553,0.00060676571749677,0.0173441646632154,NA,NA,NA,"tr|A0A2B4SIC8|A0A2B4SIC8_STYPI",4.69e-128,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene4758 PE=4 SV=1","gb|PFX30414.1|",7.27e-128,"hypothetical protein AWC38_SpisGene4758 [Stylophora pistillata]",NA,""
"evm.TU.chromosome_13.1233",4.39191016095677,1.81748022015878,0.53032752273335,3.42709013251158,0.000610086532298975,0.0173855947394401,"sp|Q7Z4H7|HAUS6_HUMAN",5.29e-32,"HAUS augmin-like complex subunit 6 OS=Homo sapiens GN=HAUS6 PE=1 SV=2","tr|A0A2B4T185|A0A2B4T185_STYPI",0,"HAUS augmin-like complex subunit 6 OS=Stylophora pistillata GN=HAUS6 PE=4 SV=1","ref|XP_020625892.1|",0,"uncharacterized protein LOC110063274 [Orbicella faveolata]","GO:0005813; GO:0005829; GO:0070652; GO:0005874; GO:0005815; GO:0016607; GO:0005819; GO:0051301; GO:0007098; GO:0097711; GO:0000086; GO:0010389; GO:0051225","GO:0070652; GO:0051225"
"evm.TU.chromosome_10.19",12.4459284142471,-1.26463776495242,0.369249039092359,-3.4248911468016,0.000615045791482136,0.0174200469599666,"sp|O00423|EMAL1_HUMAN",6.07e-170,"Echinoderm microtubule-associated protein-like 1 OS=Homo sapiens GN=EML1 PE=1 SV=3","tr|A0A2B4RQE1|A0A2B4RQE1_STYPI",0,"Echinoderm microtubule-associated protein-like 1 OS=Stylophora pistillata GN=EML1 PE=4 SV=1","gb|PFX19023.1|",0,"echinoderm microtubule-associated protein-like 1 isoform X2 [Stylophora pistillata]","GO:0005829; GO:0005874; GO:0005875; GO:1990023; GO:0097431; GO:0048471; GO:0005509; GO:0008017; GO:0015631; GO:0007420; GO:0002244; GO:0000226; GO:0007052; GO:0007405","GO:0005622; GO:0035556"
"evm.TU.chromosome_6.2893",6.14169314364113,-1.72546684405439,0.503801113809566,-3.42489684273823,0.000615032897411848,0.0174200469599666,"sp|Q24118|PIGE_DROME",1.45e-45,"Protein pigeon OS=Drosophila melanogaster GN=pigeon PE=2 SV=2","tr|A0A2B4SRU1|A0A2B4SRU1_STYPI",0,"Gamma-secretase-activating protein OS=Stylophora pistillata GN=GSAP PE=4 SV=1","ref|XP_020618690.1|",0,"protein pigeon-like isoform X2 [Orbicella faveolata]","",""
"evm.TU.chromosome_4.2440",29.061838974017,1.05965103216922,0.309648474777285,3.42210964524005,0.000621372504389594,0.0175457464005451,"sp|Q9ULI0|ATD2B_HUMAN",0,"ATPase family AAA domain-containing protein 2B OS=Homo sapiens GN=ATAD2B PE=1 SV=3","tr|A0A2B4RR62|A0A2B4RR62_STYPI",0,"ATPase family AAA domain-containing protein 2 OS=Stylophora pistillata GN=ATAD2 PE=4 SV=1","ref|XP_020613800.1|",0,"ATPase family AAA domain-containing protein 2-like [Orbicella faveolata]","GO:0005654; GO:0005634; GO:0005524; GO:0016887; GO:0003682; GO:0070577; GO:0031936; GO:0045944","GO:0005524; GO:0016887; GO:0006325; GO:0007275; GO:0006355"
"evm.TU.chromosome_12.2847",223.199106932069,0.621361537421684,0.181668729575279,3.42029989902147,0.000625521353468706,0.0175561733345144,"sp|P61165|TM258_HUMAN",6.36e-45,"Transmembrane protein 258 OS=Homo sapiens GN=TMEM258 PE=1 SV=1","tr|A0A1S3HDG0|A0A1S3HDG0_LINUN",9.36e-43,"transmembrane protein 258 OS=Lingula unguis GN=LOC106154304 PE=4 SV=1","ref|XP_020606644.1|",3.49e-50,"transmembrane protein 258 [Orbicella faveolata]","GO:0005783; GO:0016021; GO:0034998; GO:0006487","GO:0016021; GO:0034998; GO:0006487"
"evm.TU.chromosome_4.1063",127.817659084103,0.679101464270962,0.198531775314445,3.42061850399195,0.000624789086326788,0.0175561733345144,"sp|Q7TNF8|RIMB1_MOUSE",2.93e-23,"Peripheral-type benzodiazepine receptor-associated protein 1 OS=Mus musculus GN=Tspoap1 PE=2 SV=2","tr|A0A2B4SS45|A0A2B4SS45_STYPI",0,"RIMS-binding protein 2 OS=Stylophora pistillata GN=RIMBP2 PE=4 SV=1","ref|XP_020601740.1|",0,"RIMS-binding protein 2-like isoform X1 [Orbicella faveolata]","GO:0005737; GO:0005739; GO:0030156",""
"evm.TU.chromosome_10.2396",74.5028665175349,0.968224403861605,0.283569144736112,3.4144208628997,0.000639177587751496,0.0178317110817159,"sp|Q5TCS8|KAD9_HUMAN",5.55e-97,"Adenylate kinase 9 OS=Homo sapiens GN=AK9 PE=1 SV=2","tr|A0A2B4T1H7|A0A2B4T1H7_STYPI",0,"Adenylate kinase 9 OS=Stylophora pistillata GN=AK9 PE=4 SV=1","ref|XP_015764834.1|",0,"PREDICTED: adenylate kinase 9-like [Acropora digitifera]","GO:0005737; GO:0005829; GO:0031965; GO:0005654; GO:0005634; GO:0005524; GO:0004550; GO:0019206; GO:0050145; GO:0006756; GO:0006757; GO:0061508; GO:0061566; GO:0006174; GO:0061565; GO:0061570; GO:0061567; GO:0006186; GO:0061568; GO:0015949; GO:0061571; GO:0061569","GO:0005524; GO:0019205; GO:0006139"
"evm.TU.chromosome_5.111",146.741966958755,-0.721148788741241,0.21143521664281,-3.41073166614207,0.000647888184802706,0.0180206025054405,"sp|P09102|PDIA1_CHICK",0,"Protein disulfide-isomerase OS=Gallus gallus GN=P4HB PE=1 SV=3","tr|A0A2B4RVE6|A0A2B4RVE6_STYPI",0,"Protein disulfide-isomerase 2 OS=Stylophora pistillata GN=pdi-2 PE=4 SV=1","ref|XP_020626093.1|",0,"protein disulfide-isomerase 2-like [Orbicella faveolata]","GO:0005783; GO:0005788; GO:0005886; GO:0003756; GO:0045454; GO:0019511; GO:0006457; GO:1902175; GO:0034976","GO:0005783; GO:0003756; GO:0045454"
"evm.TU.chromosome_4.465",16.9330551671763,3.03086542514215,0.889498909860037,3.40738520479925,0.000655884914308544,0.0181885697132131,"sp|O75496|GEMI_HUMAN",7.18e-12,"Geminin OS=Homo sapiens GN=GMNN PE=1 SV=1","tr|A0A2B4SBI2|A0A2B4SBI2_STYPI",8.68e-120,"Geminin OS=Stylophora pistillata GN=GMNN PE=4 SV=1","ref|XP_020629436.1|",3.16e-153,"uncharacterized protein LOC110066544 [Orbicella faveolata]","GO:0005737; GO:0005829; GO:0005654; GO:0005634; GO:0003682; GO:0042826; GO:0070491; GO:0003714; GO:0009887; GO:0071163; GO:0045786; GO:0008156; GO:2000104; GO:0045892; GO:0035563; GO:0006461","GO:0006275"
"evm.TU.chromosome_13.1534",6.25738671227878,-2.06090745955444,0.605226715176533,-3.40518256692175,0.000661198340130739,0.0182813469637338,"sp|Q6NUT3|MFS12_HUMAN",8.15e-139,"Major facilitator superfamily domain-containing protein 12 OS=Homo sapiens GN=MFSD12 PE=1 SV=2","tr|A0A2B4RFV9|A0A2B4RFV9_STYPI",0,"Major facilitator superfamily domain-containing protein 12 OS=Stylophora pistillata GN=MFSD12 PE=4 SV=1","ref|XP_020603151.1|",0,"major facilitator superfamily domain-containing protein 12-like isoform X2 [Orbicella faveolata]","GO:0016021; GO:0005765","GO:0016021"
"evm.TU.chromosome_14.5690",37.5073442511698,-1.11803077990589,0.328547982753545,-3.40294519703249,0.000666636505185171,0.0183770122646001,"sp|P38529|HSF1_CHICK",3.05e-72,"Heat shock factor protein 1 OS=Gallus gallus GN=HSF1 PE=1 SV=1","tr|A0A2B4T2L4|A0A2B4T2L4_STYPI",0,"Heat shock factor protein 1 OS=Stylophora pistillata GN=Hsf1 PE=4 SV=1","ref|XP_020628138.1|",0,"heat shock factor protein 1-like isoform X1 [Orbicella faveolata]","GO:0005813; GO:0000777; GO:0005737; GO:0000776; GO:0097431; GO:0097165; GO:0005654; GO:0005634; GO:0048471; GO:0016605; GO:0031490; GO:0001046; GO:0003677; GO:0003700; GO:0031072; GO:1990841; GO:0042803; GO:0043621; GO:0043565; GO:0071276; GO:0071480; GO:0034605; GO:0006281; GO:0000165; GO:0006397; GO:0051028; GO:2001033; GO:0000122; GO:1902808; GO:1902751; GO:0008284; GO:0010628; GO:0045931; GO:1900365; GO:0045944; GO:0061408; GO:0051260; GO:0070207; GO:0043497; GO:0009408; GO:0009416; GO:0006351","GO:0005634; GO:0003700; GO:0043565"
